startTime,time,open,high,low,close,volume
2021-10-20T18:44:00+00:00,1634755440000.0,66615.0,66638.0,66615.0,66615.0,1072251.5807
2021-10-20T18:45:00+00:00,1634755500000.0,66615.0,66616.0,66571.0,66590.0,687756.6578
2021-10-20T18:46:00+00:00,1634755560000.0,66590.0,66590.0,66561.0,66562.0,248490.7797
2021-10-20T18:47:00+00:00,1634755620000.0,66562.0,66580.0,66518.0,66546.0,866961.3275
2021-10-20T18:48:00+00:00,1634755680000.0,66546.0,66574.0,66535.0,66550.0,164483.9994
2021-10-20T18:49:00+00:00,1634755740000.0,66550.0,66550.0,66541.0,66541.0,59470.3057
2021-10-20T18:50:00+00:00,1634755800000.0,66541.0,66541.0,66498.0,66539.0,609150.3699
2021-10-20T18:51:00+00:00,1634755860000.0,66539.0,66540.0,66523.0,66527.0,94041.3926
2021-10-20T18:52:00+00:00,1634755920000.0,66527.0,66530.0,66522.0,66522.0,351618.4201
2021-10-20T18:53:00+00:00,1634755980000.0,66522.0,66527.0,66522.0,66526.0,90821.82
2021-10-20T18:54:00+00:00,1634756040000.0,66526.0,66530.0,66501.0,66527.0,242781.1464
2021-10-20T18:55:00+00:00,1634756100000.0,66527.0,66544.0,66527.0,66542.0,163853.033
2021-10-20T18:56:00+00:00,1634756160000.0,66542.0,66647.0,66542.0,66647.0,734688.8003
2021-10-20T18:57:00+00:00,1634756220000.0,66647.0,66708.0,66640.0,66675.0,625874.4647
2021-10-20T18:58:00+00:00,1634756280000.0,66675.0,66708.0,66675.0,66697.0,58622.2777
2021-10-20T18:59:00+00:00,1634756340000.0,66697.0,66698.0,66668.0,66668.0,131459.1929
2021-10-20T19:00:00+00:00,1634756400000.0,66668.0,66692.0,66668.0,66692.0,169316.9126
2021-10-20T19:01:00+00:00,1634756460000.0,66692.0,66694.0,66671.0,66671.0,462510.6838
2021-10-20T19:02:00+00:00,1634756520000.0,66671.0,66681.0,66671.0,66674.0,132054.3381
2021-10-20T19:03:00+00:00,1634756580000.0,66674.0,66675.0,66669.0,66670.0,153197.818
2021-10-20T19:04:00+00:00,1634756640000.0,66670.0,66681.0,66669.0,66675.0,98483.7477
2021-10-20T19:05:00+00:00,1634756700000.0,66675.0,66716.0,66675.0,66702.0,216237.7752
2021-10-20T19:06:00+00:00,1634756760000.0,66702.0,66724.0,66702.0,66711.0,204231.8623
2021-10-20T19:07:00+00:00,1634756820000.0,66711.0,66711.0,66634.0,66641.0,812784.6407
2021-10-20T19:08:00+00:00,1634756880000.0,66641.0,66655.0,66618.0,66618.0,281452.5167
2021-10-20T19:09:00+00:00,1634756940000.0,66618.0,66691.0,66618.0,66633.0,841446.1148
2021-10-20T19:10:00+00:00,1634757000000.0,66633.0,66647.0,66633.0,66646.0,24332.4937
2021-10-20T19:11:00+00:00,1634757060000.0,66646.0,66646.0,66601.0,66604.0,621768.9118
2021-10-20T19:12:00+00:00,1634757120000.0,66604.0,66620.0,66588.0,66597.0,249912.5602
2021-10-20T19:13:00+00:00,1634757180000.0,66597.0,66626.0,66596.0,66620.0,290365.6766
